Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.02
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.05
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,96.03
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,98.89
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,97.23
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,98.02
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.97
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,96.03
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,99.11
KNeighborsClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,96.86
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.81
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.84
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,97.63
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,99.83
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,97.86
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,98.53
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,98.5
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,97.07
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,99.64
SVC,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,97.38
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.15
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.19
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,96.29
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,99.62
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,96.8
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,98.53
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,98.5
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,97.07
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,99.46
GradientBoostingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,97.55
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.4
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.43
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,96.81
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,99.14
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,97.72
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.93
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.87
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,95.86
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,98.39
LogisticRegression,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,97.35
BaggingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,99.72
BaggingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,99.72
BaggingClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,99.44
