Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.54
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,93.55
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.14
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,97.54
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,93.55
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.14
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,97.54
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,93.55
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.14
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.68
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,93.81
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.14
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.26
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,97.51
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,93.54
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.22
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.32
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,97.51
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,93.54
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.22
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.32
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,97.51
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,93.54
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,98.22
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,98.32
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.63
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,93.83
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.31
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.33
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.55
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,93.73
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.12
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,97.55
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,93.73
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.12
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.55
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,93.73
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,98.12
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.69
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,93.96
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.12
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.26
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,93.73
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.2
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.31
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,93.73
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.2
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.31
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
