Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.31
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.3
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,True Negative,6889.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Positive,98.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative,138.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,True Positive,6839.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,96.62
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,98.02
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,98.59
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Postive Rate,0.01
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative Rate,0.02
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,98.31
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,98.08
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,98.09
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,True Negative,1705.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Positive,36.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative,31.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,True Positive,1720.0
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,96.16
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,98.23
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,97.95
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Postive Rate,0.02
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative Rate,0.02
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,98.08
