Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,True Negative,6987.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Positive,0.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative,0.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,True Positive,6977.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Postive Rate,0.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative Rate,0.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.22
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.26
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,True Negative,1673.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Positive,68.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative,29.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,True Positive,1722.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,94.44
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,98.34
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,96.2
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Postive Rate,0.04
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative Rate,0.02
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,97.22
