Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,97.51
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,97.48
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,True Negative,6880.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Positive,107.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Negative,241.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,True Positive,6736.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,95.02
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,96.55
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,98.44
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Postive Rate,0.02
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Negative Rate,0.03
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,97.74
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,97.73
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,True Negative,1713.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Positive,28.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Negative,51.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,True Positive,1700.0
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,95.48
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,97.09
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,98.38
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Postive Rate,0.02
LogisticRegression,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Negative Rate,0.03
