Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,100.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,100.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,True Negative,2299.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,False Positive,0.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative,0.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,True Positive,2339.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,100.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,100.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,100.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,False Postive Rate,0.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Train,False Negative Rate,0.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.93
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.88
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,True Negative,581.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,False Positive,19.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative,5.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,True Positive,555.0
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,95.86
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,99.11
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,96.69
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,False Postive Rate,0.03
RandomForestClassifier,ClusterCentroids,SimpleImputer_mode,SimpleImputer_mean,Test,False Negative Rate,0.01
