Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,99.21
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,99.2
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,True Negative,6933.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Positive,54.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Negative,57.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,True Positive,6920.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,98.41
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,99.18
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,99.23
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Postive Rate,0.01
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,False Negative Rate,0.01
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,AUC,99.21
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,98.05
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,98.06
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,True Negative,1702.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Positive,39.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Negative,29.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,True Positive,1722.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,96.11
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,98.34
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,97.79
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Postive Rate,0.02
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,False Negative Rate,0.02
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,AUC,98.05
