Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9756132652327171
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9338056232012397
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.984359448315086
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9826945080091534
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9756132652327171
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9338056232012397
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.984359448315086
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9826945080091534
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-F-1,0.9756132652327171
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-F-1,0.9338056232012397
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-F-1,0.984359448315086
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-F-1,0.9826945080091534
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-F-1,0.9756132652327171
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-F-1,0.9338056232012397
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-F-1,0.984359448315086
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-F-1,0.9826945080091534
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-F-1,0.9756132652327171
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-F-1,0.9338056232012397
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-F-1,0.984359448315086
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-F-1,0.9826945080091534
