Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9755747126436781
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.934503614102375
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9819474058280029
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-F-1,0.9825913242009132
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9755747126436781
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.934503614102375
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9819474058280029
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-F-1,0.9825913242009132
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-F-1,0.9755747126436781
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-F-1,0.934503614102375
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-F-1,0.9819474058280029
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-F-1,0.9825913242009132
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-F-1,0.9769379984194266
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-F-1,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-F-1,0.9384366735233617
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-F-1,0.9811803138981606
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-F-1,0.9828522434981424
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-F-1,0.9757989228007181
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-F-1,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-F-1,0.9349941037735849
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-F-1,0.9823763501989767
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-F-1,0.9827918600499822
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-F-1,0.9757989228007181
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-F-1,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-F-1,0.9349941037735849
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-F-1,0.9823763501989767
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-F-1,0.9827918600499822
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-F-1,0.9757989228007181
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-F-1,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-F-1,0.9349941037735849
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-F-1,0.9823763501989767
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-F-1,0.9827918600499822
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-F-1,0.9770849795273328
