Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,100.0
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.22
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.26
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,94.44
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,98.34
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,96.2
KNeighborsClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,97.22
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,98.73
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,98.73
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,97.45
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,99.53
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,97.95
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,AUC,98.73
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,97.37
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,97.41
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,94.73
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,98.69
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,96.16
SVC,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,AUC,97.36
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,98.31
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,98.3
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,96.62
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,98.02
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,98.59
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,98.31
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,98.08
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,98.09
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,96.16
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,98.23
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,97.95
GradientBoostingClassifier,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,98.08
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,97.57
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,97.56
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,95.14
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,97.06
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,98.06
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,97.57
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.97
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.97
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,95.93
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,97.94
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,98.0
LogisticRegression,MWMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,97.97
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Accuracy,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,F-1,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Kappa,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Recall,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,Precision,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Train,AUC,100.0
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Accuracy,97.62
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,F-1,97.62
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,95.25
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,97.2
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,98.04
