Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.53
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,93.23
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.27
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.29
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.96
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,97.4
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,93.46
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.18
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.23
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.13
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,99.89
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.16
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,88.37
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.35
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.56
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.38
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,99.65
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.37
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,92.44
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.64
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.88
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.02
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.96
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,97.61
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,93.45
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.25
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.36
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.01
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,99.78
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,93.37
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.28
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.39
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.03
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,99.84
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,97.37
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,93.26
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.23
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.2
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,97.96
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,99.86
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.14
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,88.41
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.01
