Algorithm,Imputer,Imbalance,Metric,Score,Set,MainMetric
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.53,Train,F-1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,93.23,Train,F-1
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.27,Train,F-1
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.29,Train,F-1
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.96,Train,F-1
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,99.85,Train,F-1
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,97.56,Train,F-1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,93.17,Train,F-1
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.33,Train,F-1
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.46,Train,F-1
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.04,Train,F-1
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,99.85,Train,F-1
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.16,Train,F-1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,88.37,Train,F-1
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.35,Train,F-1
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.56,Train,F-1
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.38,Train,F-1
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,99.32,Train,F-1
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.49,Train,F-1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,92.4,Train,F-1
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.79,Train,F-1
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.96,Train,F-1
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.98,Train,F-1
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.94,Train,F-1
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,96.65,Train,F-1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,92.39,Train,F-1
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,96.5,Train,F-1
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,97.57,Train,F-1
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,97.79,Train,F-1
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,99.78,Train,F-1
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,97.58,Train,F-1
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,93.26,Train,F-1
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.29,Train,F-1
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.33,Train,F-1
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.0,Train,F-1
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,99.84,Train,F-1
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0,Train,F-1
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,97.71,Train,F-1
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,93.38,Train,F-1
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.31,Train,F-1
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.33,Train,F-1
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.02,Train,F-1
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,99.92,Train,F-1
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0,Train,F-1
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.14,Train,F-1
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,88.41,Train,F-1
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.01,Train,F-1
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.47,Train,F-1
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.45,Train,F-1
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,99.65,Train,F-1
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0,Train,F-1
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.6,Train,F-1
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,92.62,Train,F-1
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.94,Train,F-1
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.03,Train,F-1
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.17,Train,F-1
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.79,Train,F-1
XGBoost,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0,Train,F-1
LogisticRegression,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,97.01,Train,F-1
DecisionTree,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
NaiveBayes,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,92.57,Train,F-1
KNN,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,97.39,Train,F-1
SVM,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,97.73,Train,F-1
RandomForest,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
GradientBoosting,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,97.77,Train,F-1
Bagging,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,99.81,Train,F-1
XGBoost,KNNImptuer__SimpleImputer_mode,AllKNN,Train-F-1,100.0,Train,F-1
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.54,Train,Accuracy
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,93.44,Train,Accuracy
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.26,Train,Accuracy
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.29,Train,Accuracy
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.97,Train,Accuracy
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,99.85,Train,Accuracy
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.57,Train,Accuracy
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,93.4,Train,Accuracy
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.32,Train,Accuracy
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.45,Train,Accuracy
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.05,Train,Accuracy
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.85,Train,Accuracy
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.15,Train,Accuracy
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,94.29,Train,Accuracy
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.27,Train,Accuracy
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.36,Train,Accuracy
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.26,Train,Accuracy
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,99.67,Train,Accuracy
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.47,Train,Accuracy
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,92.67,Train,Accuracy
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.78,Train,Accuracy
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.94,Train,Accuracy
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.97,Train,Accuracy
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.94,Train,Accuracy
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,97.02,Train,Accuracy
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,93.53,Train,Accuracy
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,96.93,Train,Accuracy
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,97.82,Train,Accuracy
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,98.03,Train,Accuracy
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,99.81,Train,Accuracy
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.59,Train,Accuracy
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,93.47,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.27,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.32,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.01,Train,Accuracy
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,99.84,Train,Accuracy
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.72,Train,Accuracy
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,93.59,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.3,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.33,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.03,Train,Accuracy
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.92,Train,Accuracy
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.14,Train,Accuracy
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,94.31,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.11,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.31,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.29,Train,Accuracy
