Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-F-1,97.48
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-F-1,93.46
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-F-1,98.27
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-F-1,98.34
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-F-1,97.48
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-F-1,93.46
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-F-1,98.27
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-F-1,98.34
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-F-1,97.48
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-F-1,93.46
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-F-1,98.27
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-F-1,98.34
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-F-1,97.55
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-F-1,93.71
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-F-1,98.21
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-F-1,98.34
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-F-1,97.58
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-F-1,93.38
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-F-1,98.27
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-F-1,98.41
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-F-1,97.58
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-F-1,93.38
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-F-1,98.27
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-F-1,98.41
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-F-1,97.58
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-F-1,93.38
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-F-1,98.27
