Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.81
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,94.42
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.92
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.71
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.68
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,99.83
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,97.81
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,94.42
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,97.92
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.71
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.68
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,97.81
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,94.42
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,97.92
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.71
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.68
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.71
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,94.48
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.09
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.58
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.7
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.82
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,97.71
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,94.48
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.09
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.58
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.7
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,99.85
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,97.71
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,95.15
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,97.86
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.66
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,98.68
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-F-1,99.8
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,97.71
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,95.15
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,97.86
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.66
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,98.68
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-F-1,99.85
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,97.71
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,95.15
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,97.86
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,98.66
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,98.68
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,99.65
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.55
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,94.7
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.77
